Feature1,Feature2,Label
0.8272822208142254,2.037059184337605,3
-2.3208386341133354,-2.8958680923240934,0
2.2644389575761488,-1.7019829211322197,1
-1.920860824048709,-1.3302569492449812,0
-2.3869456349306324,1.707116193943302,2
1.4017602518008836,-2.5594579743608943,1
-1.4068450635074234,-3.275998988320998,0
-2.607188183133383,1.4181037602290345,2
-2.1449890133733494,-4.082646272820796,0
3.4723425867506137,1.4842105685308815,3
2.7027073056744007,-1.3959208034001844,1
-2.286325199923432,-1.5128065931976455,0
-1.7401564256304418,2.526921473852963,2
-1.5080021023683094,-1.517555651011401,0
-1.0677291720091153,2.5970106489995093,2
-1.7832868629396332,2.290789088277073,2
-2.218056702458327,-1.9972825134703822,0
-2.7670788726573603,1.7771300684456117,2
-1.989944705512785,-1.5521018323001126,0
0.9465037368463578,1.7813847431813947,3
-1.4477293597468444,2.454451689648948,2
2.3773974757901213,-1.6721411173860103,1
1.9683911172224164,2.2682411402491716,3
2.5603656154497676,-1.5211857164814484,1
-2.4105340329916856,2.611440139543908,2
-2.1507428142926557,1.9458422498949624,2
-2.391356257080573,1.8853908986816852,2
-2.672742444187864,1.6215961441870013,2
-2.170036408559307,1.6934070766708278,2
-1.8887760753590561,-2.497899165888852,0
-1.924542043031621,1.6948451438546726,2
-2.0290583177064843,-3.853313203878088,0
0.6484090737915478,-3.136171293916987,1
-2.0463119236383496,-2.216456312521916,0
-0.7804089801344489,2.8431469470000246,2
-0.06924026677519857,-3.8388288336070695,1
1.761499759799044,2.3157320212202634,3
-2.597751377150347,-2.062564672643741,0
3.1765001350530344,-0.9919150055769139,1
1.320494028398656,1.248886914707077,3
1.5423387155331103,1.0573707570180328,3
-1.86794382330229,1.8790487094253567,2
1.3125846558874346,-2.558640960385705,1
2.562623538129697,-1.5953125375104973,1
2.236755166740885,-1.8000248721537586,1
1.650795425362041,1.7399351355810155,3
2.5554732678690764,-1.4822086033684254,1
-2.528822808840438,-2.4458523964890175,0
-2.5377175120012296,-2.06966596896843,0
2.0491668382561916,-1.9073083260927863,1
-1.7269476899804967,2.747729518306747,2
-2.112614887461363,-1.4828616537856623,0
1.7961660847949579,-2.2029785991908684,1
2.2247568319336475,1.9657777957084897,3
2.4529520261802773,-1.505679734411748,1
3.0119829504892826,2.2161288031884623,3
1.851537828096692,1.3874039000737246,3
-1.688166692807188,-3.0529335070525434,0
-1.7810253613144005,2.4972140906272147,2
0.8943501486917356,1.7383580543600567,3
-2.196149816389563,-3.3201663371821377,0
-1.4388191810423883,2.5176014657115853,2
1.4984160469312027,2.246074799573806,3
1.9262269923277464,-1.981894192156333,1
2.313950098505769,-1.7370404481000128,1
2.1260396947518405,-1.824568163333318,1
-2.055959108922244,-0.8296263545882414,0
-1.9465427923878933,-2.3023988315056836,0
-2.5030202130476615,-1.0497191889815305,0
-1.9808568626942267,1.8805846865196192,2
-1.0082511177778022,2.707901910798479,2
-2.1838201844111538,-0.31939052067178886,0
-1.7999557492456664,1.9551631187839922,2
-2.2361909914994222,1.6714596305734462,2
1.5163524168327527,-2.5020261864769746,1
-0.43839289663936265,3.092799408498923,2
3.125307013590094,-1.072687686143983,1
-0.09610378981735357,-3.8299174822405355,1
0.2749663349127025,3.5785591414040425,2
-1.758213287851784,-1.5058805360324925,0
1.6850773695208006,-2.287897141641928,1
-2.379484842915174,-3.878184142917041,0
3.7523458372907115,1.1908534127427668,3
1.4852650626822856,2.665452185696577,3
2.002419165625524,2.1778908641496653,3
1.8973218552740363,1.1093296113915012,3
1.6980877422458116,1.4309145277251887,3
-2.1149240560769322,1.9810997659408238,2
2.5455514323082378,-1.5192421490904229,1
-1.4848166562633351,3.0591622652771493,2
0.7230894075481555,-3.0571923100674296,1
-2.230162037328382,-0.6097588332854518,0
-2.1099378526070485,-1.9975574172250639,0
1.379744315591656,-2.562211828080912,1
-2.3463543116708294,2.073029091467372,2
-2.5333562642982677,-2.594343402456749,0
2.090070745686523,2.3315163538865322,3
-2.312354455963354,2.0794167026445236,2
-2.06712708968262,-2.9125476717611716,0
2.52023988887945,-1.5172517615985095,1
-1.8152348848271667,-1.0282459537120545,0
-2.205857226951656,-0.791403415815312,0
1.6139216059699322,2.1557894471847314,3
1.8808458118106635,1.6327061253270085,3
1.249154992579459,-2.6873127542849966,1
2.639942596358286,2.714126454117463,3
-2.2011376829486644,1.60045469578007,2
-2.234367610327338,-1.3798747530600832,0
1.4413080679583747,-2.4888181900944817,1
1.227853239458042,-2.657414144760606,1
-1.5428525722152777,-2.3647469804094854,0
1.6887270397935303,1.3920217542794384,3
-1.724385713021384,-1.7059399757240326,0
1.6928568807785247,2.5463852615676577,3
1.9967955839845135,-2.0188930318268286,1
-2.5014091177792768,0.017641650211216664,0
2.1804521363066285,1.4880929789370003,3
-1.981232770791123,2.0265115234458415,2
1.8098389412106042,2.281399355167106,3
-2.2667849424843443,-3.90546804614821,0
-1.5911939660453984,-0.9414677152353921,0
1.0479641105290303,3.2090627173650104,3
1.732031579374137,-2.255184868716882,1
3.0909828126953602,-1.0602900661924373,1
2.5374160081454606,1.2576549968493282,3
-1.6737844847224155,-1.0276134947872098,0
-2.0217798062279932,1.986693406107028,2
2.356304736069333,-1.6399908399610694,1
2.6537156053743822,2.1359205500323233,3
2.6864155034489574,-1.3808008796621634,1
-2.0878197284586038,2.232548450506664,2
2.5725864375402345,-1.639089804950606,1
-0.9353131708250382,2.666725707445821,2
-1.4833715003666237,0.16883072647489739,0
3.292766458028835,-0.8521324847372167,1
-2.435593679165882,1.2552295678921557,2
3.4894115460322253,-0.764940997662624,1
-3.8805402862371143,0.867253322237199,2
1.1991149137289823,-2.7462942728045183,1
-2.5266332850341935,1.3511625578696338,2
-2.167468103857267,-0.6865207966183693,0
1.4090734950147534,2.7088499819488283,3
-1.6555771161276718,-2.1738521847698404,0
-0.4004833436337141,2.9445522207059485,2
2.0423780517201306,-1.908297947767624,1
-2.201905271145659,-3.0316940918198028,0
-3.1563913985284997,0.9206603453737057,2
-2.1224285247687713,-1.4027416858604056,0
0.6011028040624153,-3.1989798238905207,1
2.8571437996799944,-1.2665886125520867,1
1.3948447369041264,2.0083403966707603,3
2.4372367659942853,1.6898338744793069,3
